ProductLevel,Date,Cycle_Time(days)
1.0,2020-04-01,1.2272727272727273
1.0,2020-04-02,0.875
1.0,2020-04-03,1.0833333333333333
1.0,2020-04-04,
1.0,2020-04-05,
1.0,2020-04-06,2.45
1.0,2020-04-07,0.3333333333333333
1.0,2020-04-08,0.9
1.0,2020-04-09,0.25
1.0,2020-04-10,0.6363636363636364
1.0,2020-04-11,
1.0,2020-04-12,
1.0,2020-04-13,0.5333333333333333
1.0,2020-04-14,0.75
1.0,2020-04-15,0.0
1.0,2020-04-16,37.06666666666667
1.0,2020-04-17,0.0
1.0,2020-04-18,
1.0,2020-04-19,
1.0,2020-04-20,0.5384615384615384
2.0,2020-04-01,2.25
2.0,2020-04-02,2.3333333333333335
2.0,2020-04-03,205.27272727272728
2.0,2020-04-04,
2.0,2020-04-05,
2.0,2020-04-06,2.5
2.0,2020-04-07,3.48
2.0,2020-04-08,4.5
2.0,2020-04-09,2.8
2.0,2020-04-10,2.1052631578947367
2.0,2020-04-11,
2.0,2020-04-12,
2.0,2020-04-13,3.8125
2.0,2020-04-14,6.25
2.0,2020-04-15,4.294117647058823
2.0,2020-04-16,2.0
2.0,2020-04-17,3.5294117647058822
2.0,2020-04-18,
2.0,2020-04-19,
2.0,2020-04-20,210.5
3.0,2020-04-09,0.0
3.0,2020-04-10,
3.0,2020-04-11,
3.0,2020-04-12,
3.0,2020-04-13,
3.0,2020-04-14,
3.0,2020-04-15,
3.0,2020-04-16,
3.0,2020-04-17,
3.0,2020-04-18,
3.0,2020-04-19,
3.0,2020-04-20,445.0
